timestamp,request_rate,avg_response_latency,p95_response_latency,error_rate,active_requests,cpu_usage_pct,memory_usage_mb
2026-08-23 18:21:01,19.738,0.0528,0.0912,0.0,2.0,17.41,67.54
2026-08-23 18:21:06,17.516,0.0395,0.0708,0.0,4.0,17.49,67.64
2026-08-23 18:21:11,20.267,0.0368,0.0554,0.0,1.0,19.13,67.03
2026-08-23 18:21:16,23.331,0.045,0.0804,0.0,0.0,15.13,69.37
2026-08-23 18:21:21,17.18,0.0433,0.0681,0.0,2.0,11.92,66.73
2026-08-23 18:21:26,17.181,0.0405,0.0623,0.0,4.0,14.48,67.28
2026-08-23 18:21:31,23.527,0.052,0.0738,0.0,5.0,16.78,65.48
2026-08-23 18:21:36,20.686,0.0546,0.0775,0.0,2.0,15.25,68.76
2026-08-23 18:21:41,16.357,0.0459,0.0769,0.0,2.0,16.1,69.88
2026-08-23 18:21:46,19.899,0.0598,0.0946,0.0,3.0,19.1,67.28
2026-08-23 18:21:51,16.378,0.0336,0.0501,0.0,4.0,16.75,69.61
2026-08-23 18:21:56,16.37,0.0431,0.0709,0.0,1.0,15.6,67.71
2026-08-23 18:22:01,18.847,0.0378,0.0568,0.0,2.0,9.47,62.95
2026-08-23 18:22:06,11.304,0.0263,0.043,0.0,2.0,12.65,67.9
2026-08-23 18:22:11,11.963,0.0442,0.0682,0.0,4.0,13.79,67.65
2026-08-23 18:22:16,16.032,0.0438,0.0757,0.0,2.0,9.07,68.21
2026-08-23 18:22:21,14.455,0.0601,0.1039,0.0,2.0,11.67,68.51
2026-08-23 18:22:26,19.1,0.0513,0.0816,0.0,2.0,14.19,66.63
2026-08-23 18:22:31,14.822,0.0348,0.0535,0.0,2.0,14.68,70.94
2026-08-23 18:22:36,13.057,0.0635,0.0982,0.0,3.0,16.52,67.87
2026-08-23 18:22:41,23.13,0.0572,0.0985,0.0,1.0,14.38,67.6
2026-08-23 18:22:46,17.21,0.0508,0.0778,0.067,3.0,15.74,69.49
2026-08-23 18:22:51,18.236,0.0427,0.0634,0.0,2.0,13.75,68.04
2026-08-23 18:22:56,13.013,0.0354,0.0508,0.0,2.0,15.13,73.13
2026-08-23 18:23:01,16.095,0.0413,0.0655,0.0,4.0,16.35,67.58
2026-08-23 18:23:06,18.388,0.0559,0.089,0.0,1.0,19.42,68.7
2026-08-23 18:23:11,13.972,0.0638,0.1109,0.0,4.0,13.46,66.5
2026-08-23 18:23:16,19.315,0.0604,0.09,0.0,2.0,15.43,69.74
2026-08-23 18:23:21,15.898,0.0401,0.0623,0.0,2.0,17.61,68.62
2026-08-23 18:23:26,16.979,0.0338,0.0583,0.0,1.0,10.68,67.32
2026-08-23 18:23:31,15.894,0.0464,0.0803,0.0,2.0,20.99,66.26
2026-08-23 18:23:36,24.483,0.0273,0.0424,0.0,3.0,18.54,65.38
2026-08-23 18:23:41,17.953,0.0482,0.0764,0.0,2.0,9.87,68.84
2026-08-23 18:23:46,14.298,0.0435,0.0662,0.0,1.0,16.11,65.23
2026-08-23 18:23:51,20.879,0.0403,0.0715,0.0,1.0,13.31,70.62
2026-08-23 18:23:56,13.727,0.0291,0.0421,0.0,4.0,13.81,65.47
2026-08-23 18:24:01,18.731,0.0501,0.0889,0.0,2.0,16.05,67.64
2026-08-23 18:24:06,11.141,0.0397,0.0664,0.0,0.0,18.15,66.24
2026-08-23 18:24:11,13.351,0.0333,0.0537,0.0,4.0,13.6,68.07
2026-08-23 18:24:16,18.689,0.0163,0.023,0.0,1.0,13.64,68.05
2026-08-23 18:24:21,20.585,0.0447,0.0711,0.0,2.0,16.12,68.89
2026-08-23 18:24:26,18.6,0.0627,0.098,0.0,3.0,16.72,64.95
2026-08-23 18:24:31,17.595,0.0616,0.0902,0.0,3.0,11.98,66.47
2026-08-23 18:24:36,16.946,0.0404,0.0672,0.0,2.0,20.17,69.94
2026-08-23 18:24:41,12.825,0.039,0.0697,0.0,2.0,13.07,69.32
2026-08-23 18:24:46,15.481,0.0497,0.0807,0.0,3.0,17.89,63.0
2026-08-23 18:24:51,16.388,0.035,0.059,0.0,4.0,16.36,68.75
2026-08-23 18:24:56,21.7,0.048,0.0685,0.0,5.0,16.82,65.94
2026-08-23 18:25:01,19.203,0.0527,0.0825,0.0,2.0,13.13,66.82
2026-08-23 18:25:06,11.829,0.0573,0.0828,0.054,2.0,9.83,67.55
2026-08-23 18:25:11,19.134,0.044,0.0724,0.0,1.0,14.94,71.11
2026-08-23 18:25:16,16.652,0.043,0.0763,0.0,3.0,14.95,65.91
2026-08-23 18:25:21,15.631,0.0362,0.0603,0.0,2.0,12.13,65.19
2026-08-23 18:25:26,20.141,0.0367,0.0526,0.0,3.0,17.75,68.9
2026-08-23 18:25:31,21.608,0.0427,0.0659,0.0,3.0,14.85,67.94
2026-08-23 18:25:36,21.259,0.0487,0.0789,0.0,1.0,12.57,70.41
2026-08-23 18:25:41,15.063,0.0541,0.0845,0.0,2.0,16.76,67.29
2026-08-23 18:25:46,16.918,0.037,0.0641,0.0,1.0,16.83,70.42
2026-08-23 18:25:51,19.159,0.0599,0.1034,0.0,4.0,12.85,68.03
2026-08-23 18:25:56,21.414,0.0423,0.0696,0.0,0.0,18.7,69.06
2026-08-23 18:26:01,16.323,0.0448,0.0694,0.0,3.0,21.73,71.25
2026-08-23 18:26:06,17.35,0.0375,0.0564,0.0,2.0,11.73,67.67
2026-08-23 18:26:11,14.128,0.0208,0.0299,0.0,1.0,14.45,70.09
2026-08-23 18:26:16,13.813,0.0538,0.083,0.0,2.0,16.01,66.77
2026-08-23 18:26:21,20.844,0.0524,0.082,0.0,3.0,21.84,68.46
2026-08-23 18:26:26,22.747,0.0422,0.0705,0.0,0.0,12.8,65.11
2026-08-23 18:26:31,17.748,0.0457,0.076,0.0,6.0,12.18,66.99
2026-08-23 18:26:36,21.512,0.0502,0.0716,0.0,1.0,12.16,65.88
2026-08-23 18:26:41,19.266,0.0294,0.0458,0.0,2.0,18.66,70.44
2026-08-23 18:26:46,15.742,0.0397,0.0585,0.0,3.0,12.88,71.48
2026-08-23 18:26:51,19.265,0.0529,0.0774,0.0,3.0,12.45,67.29
2026-08-23 18:26:56,23.383,0.0325,0.0562,0.0,4.0,15.69,66.45
2026-08-23 18:27:01,17.875,0.0479,0.0679,0.0,2.0,15.92,65.37
2026-08-23 18:27:06,23.476,0.0314,0.0493,0.0,1.0,18.21,68.53
2026-08-23 18:27:11,8.831,0.0497,0.0729,0.0,3.0,15.28,66.8
2026-08-23 18:27:16,20.877,0.0446,0.0782,0.0,3.0,15.75,66.9
2026-08-23 18:27:21,18.305,0.0288,0.0468,0.0,5.0,14.68,71.26
2026-08-23 18:27:26,16.953,0.0566,0.0845,0.0,2.0,11.09,67.41
2026-08-23 18:27:31,18.321,0.0377,0.0603,0.0,1.0,14.4,69.17
2026-08-23 18:27:36,11.044,0.0369,0.0625,0.0,1.0,15.19,68.11
2026-08-23 18:27:41,17.231,0.047,0.0838,0.0,1.0,13.67,65.29
2026-08-23 18:27:46,19.25,0.0565,0.0841,0.0,2.0,10.31,64.31
2026-08-23 18:27:51,23.173,0.0348,0.0611,0.0,2.0,11.6,68.98
2026-08-23 18:27:56,16.186,0.0456,0.0809,0.0,4.0,14.88,71.41
2026-08-23 18:28:01,15.17,0.0493,0.0871,0.0,3.0,17.8,68.63
2026-08-23 18:28:06,16.244,0.0519,0.0859,0.0,3.0,20.05,69.25
2026-08-23 18:28:11,21.204,0.0468,0.0773,0.0,2.0,14.45,66.19
2026-08-23 18:28:16,19.151,0.0413,0.0645,0.0,1.0,12.85,70.03
2026-08-23 18:28:21,16.146,0.0367,0.0625,0.0,2.0,13.88,70.01
2026-08-23 18:28:26,19.796,0.0459,0.074,0.0,2.0,11.86,66.61
2026-08-23 18:28:31,18.34,0.0343,0.0573,0.0,3.0,17.36,69.09
2026-08-23 18:28:36,21.39,0.0158,0.0248,0.0,0.0,21.41,64.47
2026-08-23 18:28:41,15.543,0.0494,0.0836,0.0,0.0,12.92,69.45
2026-08-23 18:28:46,16.853,0.054,0.0935,0.0,3.0,11.42,66.86
2026-08-23 18:28:51,16.628,0.0214,0.0312,0.0,2.0,18.02,65.55
2026-08-23 18:28:56,12.878,0.0349,0.0605,0.0,3.0,15.95,68.81
2026-08-23 18:29:01,19.036,0.0512,0.0827,0.0,3.0,16.0,64.46
2026-08-23 18:29:06,18.914,0.0656,0.114,0.0,4.0,19.76,68.68
2026-08-23 18:29:11,18.018,0.0452,0.0711,0.0,3.0,10.9,65.74
2026-08-23 18:29:16,17.179,0.0377,0.0585,0.0,2.0,10.82,65.31
2026-08-23 18:29:21,13.046,0.0432,0.0762,0.0,5.0,14.51,68.12
2026-08-23 18:29:26,16.528,0.0587,0.0882,0.0,3.0,15.19,67.65
2026-08-23 18:29:31,16.8,0.0385,0.067,0.0,4.0,13.94,70.91
2026-08-23 18:29:36,15.192,0.037,0.059,0.0,2.0,22.38,65.43
2026-08-23 18:29:41,17.436,0.0402,0.0645,0.0,5.0,14.07,70.75
2026-08-23 18:29:46,19.414,0.0355,0.054,0.0,3.0,13.35,65.72
2026-08-23 18:29:51,24.602,0.0462,0.0753,0.0,3.0,15.37,69.84
2026-08-23 18:29:56,18.611,0.0612,0.0937,0.0,3.0,17.91,70.21
2026-08-23 18:30:01,18.901,0.0482,0.0683,0.0,4.0,12.82,68.64
2026-08-23 18:30:06,17.739,0.0425,0.0641,0.0,3.0,14.56,66.42
2026-08-23 18:30:11,11.284,0.0421,0.059,0.0,2.0,18.0,64.95
2026-08-23 18:30:16,17.907,0.0294,0.0526,0.0,4.0,18.16,64.1
2026-08-23 18:30:21,18.211,0.0538,0.0962,0.0,3.0,15.65,71.7
2026-08-23 18:30:26,26.621,0.0442,0.0689,0.0,2.0,22.26,67.41
2026-08-23 18:30:31,17.327,0.0432,0.0731,0.0,2.0,20.94,65.79
2026-08-23 18:30:36,19.055,0.0769,0.1183,0.0,4.0,10.78,65.71
2026-08-23 18:30:41,17.879,0.048,0.0801,0.0,1.0,9.92,68.34
2026-08-23 18:30:46,13.91,0.0375,0.0646,0.0,2.0,17.39,67.21
2026-08-23 18:30:51,22.0,0.0407,0.0725,0.0,3.0,19.1,64.16
2026-08-23 18:30:56,20.632,0.0565,0.0881,0.0,1.0,14.33,69.73
2026-08-23 18:31:01,20.769,0.0461,0.079,0.0,1.0,13.49,68.67
2026-08-23 18:31:06,14.817,0.0306,0.0461,0.0,6.0,12.54,71.68
2026-08-23 18:31:11,22.91,0.0542,0.0973,0.0,1.0,11.5,70.28
2026-08-23 18:31:16,13.094,0.0383,0.054,0.0,4.0,18.41,61.8
2026-08-23 18:31:21,20.054,0.0637,0.1046,0.0,1.0,13.86,70.83
2026-08-23 18:31:26,25.667,0.0558,0.0928,0.0,1.0,15.91,70.41
2026-08-23 18:31:31,14.533,0.0405,0.0679,0.0,3.0,9.52,66.53
2026-08-23 18:31:36,16.018,0.0578,0.0837,0.0,5.0,18.01,67.13
2026-08-23 18:31:41,18.349,0.0457,0.0811,0.0,2.0,16.76,68.82
2026-08-23 18:31:46,16.238,0.0535,0.0788,0.0,3.0,10.97,65.97
2026-08-23 18:31:51,12.573,0.0498,0.0822,0.0,4.0,15.78,67.51
2026-08-23 18:31:56,18.24,0.0365,0.0544,0.0,1.0,15.01,70.0
2026-08-23 18:32:01,14.282,0.0386,0.0587,0.0,0.0,13.65,69.04
2026-08-23 18:32:06,19.658,0.0553,0.0895,0.0,2.0,6.29,66.67
2026-08-23 18:32:11,14.782,0.0417,0.0653,0.0,2.0,13.02,70.05
2026-08-23 18:32:16,23.425,0.041,0.06,0.0,1.0,15.91,68.61
2026-08-23 18:32:21,15.259,0.0354,0.0521,0.0,1.0,13.35,68.54
2026-08-23 18:32:26,16.873,0.0492,0.0772,0.0,2.0,14.33,66.97
2026-08-23 18:32:31,20.847,0.0656,0.1118,0.0,2.0,19.49,67.99
2026-08-23 18:32:36,13.692,0.0343,0.0604,0.0,3.0,14.77,66.45
2026-08-23 18:32:41,18.796,0.0452,0.0649,0.0,3.0,8.71,64.12
2026-08-23 18:32:46,22.575,0.0591,0.0921,0.0,2.0,14.45,67.44
2026-08-23 18:32:51,12.374,0.0442,0.0637,0.0,2.0,15.3,67.76
2026-08-23 18:32:56,18.646,0.0495,0.0697,0.0,3.0,12.52,68.27
2026-08-23 18:33:01,18.91,0.0344,0.0572,0.0,1.0,17.2,70.42
2026-08-23 18:33:06,20.736,0.0493,0.0809,0.0,2.0,10.61,66.7
2026-08-23 18:33:11,13.671,0.0431,0.0632,0.0,3.0,14.59,67.26
2026-08-23 18:33:16,13.378,0.0549,0.0819,0.0,3.0,10.58,69.53
2026-08-23 18:33:21,19.827,0.0569,0.0802,0.0,4.0,14.11,66.49
2026-08-23 18:33:26,19.039,0.0709,0.1229,0.0,3.0,17.12,68.31
2026-08-23 18:33:31,18.877,0.0508,0.0909,0.0,0.0,14.51,67.18
2026-08-23 18:33:36,19.213,0.0483,0.0702,0.0,1.0,14.34,67.51
2026-08-23 18:33:41,15.62,0.0469,0.0701,0.0,3.0,15.08,69.52
2026-08-23 18:33:46,18.813,0.0415,0.0725,0.0,3.0,15.23,67.25
2026-08-23 18:33:51,19.026,0.0484,0.0857,0.0,1.0,17.08,69.58
2026-08-23 18:33:56,15.5,0.042,0.0659,0.0,2.0,17.1,64.1
2026-08-23 18:34:01,24.53,0.0467,0.0663,0.0,4.0,19.27,65.14
2026-08-23 18:34:06,19.658,0.0582,0.0824,0.0,1.0,15.5,63.36
2026-08-23 18:34:11,13.83,0.0349,0.0569,0.0,4.0,10.02,65.67
2026-08-23 18:34:16,20.298,0.0564,0.0878,0.0,3.0,17.57,71.71
